institution,ukprn,uoa_id,uoa_name,case_id,case_title,panel,gpa_score,binary_impact_label,Flesch Reading Ease,Dale-Chall Readability Score,SMOG Index,Automated Readability Index,Sentiment (mean),Sentiment (10th),Sentiment (50th),Sentiment (75th),Sentiment (90th),Number of organizations mentioned,Number of named individuals,Number of countries or regions mentioned,Any monetary values mentioned (list them with currency),Total monetary value,Word count,Paragraph count
University of East London,10007144,21.0,Sociology,1e6e075e-d5f5-421c-bb45-2708636b5190,"“Go Home”; Shaping the practice, policy and understanding of hostile environment immigration measure",C,2.667,Low,19.787576123002736,13.657396728971962,18.27839196684697,20.213622067448682,0.0258,-0.6913,0.0,0.2555,0.6705,29,7,7,###; ###  4,4.0,880,23
University of Lincoln,10007151,6.0,"Agriculture, Food and Veterinary Sciences",73be8e7c-907e-4e5b-8a8b-953b4d394c1b,Agricultural Robotics: Data Driven Technologies to Transform Agriculture,A,3.0,Low,24.02130556570455,13.568739410546828,17.63877873727132,19.26513202815795,0.233,0.0,0.0,0.5214,0.6556,31,8,8,###; ###  4; over £300 million,300000004.0,1298,17
University of Cambridge,10007788,4.0,"Psychology, Psychiatry and Neuroscience",d59a4fa1-5e19-4394-bf46-451d905f0fa6,Alleviating the societal and economic burden of depression worldwide  through cost-effective Mindfulness-Based Cognitive Therapy,A,3.667,High,24.773684720139954,13.478122588705649,17.693802365651003,20.325430648769576,-0.0667,-0.5529,0.0,0.19,0.4951,26,6,17,,0.0,1341,20
University of Cambridge,10007788,6.0,"Agriculture, Food and Veterinary Sciences",ee22b99e-4fdb-470e-ab7f-7be0d4043431,Changes in policy for the control of bovine tuberculosis,A,3.5,High,22.82908564418065,12.595728202861421,17.939255872803773,19.87166930664555,0.1318,-0.3182,0.0,0.4447,0.7081,23,4,4,###; ###  4; 3.35,7.35,1292,18
University of Derby,10007851,20.0,Social Work and Social Policy,cdedee72-274f-4f42-8596-ba4c5454cd06,Changing Police and Investigative Practice through the ‘PEACE’ Method of Investigative Interviewing.,C,2.333,Low,30.600810023310032,12.400777855477855,16.492802487210145,17.585520833333334,0.175,-0.6287,0.2732,0.4246,0.7239,19,3,21,###; ###  4,4.0,864,15
"University of Nottingham, The",10007154,29.0,Classics,ecf2a5ba-383e-48a1-91dc-c11219f5be9a,"Conservation, Education and Cultural Awareness: changing policy and public understanding of  international fallow deer populations",D,3.667,High,24.064541501413913,12.910154343998435,18.18861059370901,21.64139817225439,0.1747,-0.1,0.0,0.4308,0.632,37,19,12,,0.0,1914,25
Brunel University London,10000961,12.0,Engineering,acc14d05-f0e5-49e9-b962-75cb0c786250,Driving a Carbon Negative Market in Europe,B,2.7220000000000004,Low,42.264953224522316,12.275555732484076,15.226607420177512,15.928710714285714,0.0801,-0.3845,0.0,0.296,0.4915,23,9,11,###; ###  4,4.0,1575,29
University of Cambridge,10007788,2.0,"Public Health, Health Services and Primary Care",6cfef3d3-5578-48a3-bbae-5b4706fa7df4,"Empowering personalised discussion and advance planning about emergency treatment, resuscitation, and overall goals of care",A,3.6259999999999994,High,23.605708194805118,12.567899005470869,17.966590913566534,20.305996604478672,0.4837,0.0,0.6124,0.8271,0.8856,32,3,9,millions of pounds,0.0,1787,25
Brunel University London,10000961,7.0,Earth Systems and Environmental Sciences,6c88b4ac-0cd4-4234-96e0-befc2565917b,Enabling European Commission decision making for protecting consumer health from endocrine disruptors,B,3.5,High,19.460118523949205,12.871509188660802,19.412932280823824,19.39051992225462,0.0944,-0.5537,0.0,0.5106,0.5984,10,3,3,###; ###  4,4.0,686,12
Middlesex University,10004351,11.0,Computer Science and Informatics,cfee92aa-3213-4aca-b740-311988235284,Enabling positive engagement between youth workers and young offenders through mobile apps,B,2.5,Low,41.61216216216218,11.758678957528959,14.856640023380862,14.576693850139115,0.1143,-0.5106,0.0,0.4117,0.7003,27,18,13,###; ###  4; ####  Policy and Strategy; ####; ####  ; ####  Human,4.0,1489,24
