Feature,MeanAbsAttribution,StdAbsAttribution,ImportanceScore
Sentiment (10th),0.006030415643828592,0.00569056709744422,1.059719522390269
Sentiment (90th),0.005374745444014108,0.005993444325243393,0.8967692339585555
Sentiment (50th),0.006769499837189732,0.00784959672851025,0.862399871907276
Dale-Chall Readability Score,0.010210342122591287,0.012379535470493083,0.824775202524831
Number of countries or regions mentioned,0.008800927478282788,0.01099250065617962,0.8006294243012813
Flesch Reading Ease,0.007112794976906952,0.009180518105948613,0.774769696777917
GPE,0.006266753515122831,0.008250089926196311,0.7595972862370047
SMOG Index,0.006360413171742897,0.008532343158537448,0.745446543709772
EVENT,0.005664179794486737,0.007606169469856186,0.7446813235125823
Sentiment (75th),0.0046412621194841285,0.00628943297324906,0.7379448608127696
ORG,0.0035646385187976417,0.0048486794161625305,0.7351756759084924
Sentiment (mean),0.0049165623182567085,0.006729215841559144,0.7306282229216361
Paragraph count,0.005336219163598808,0.007486989018802288,0.7127313827873928
NORP,0.005462601412429216,0.007743840867894817,0.7054114943091919
DATE,0.005318156141552951,0.0075500368015681465,0.7043871755137159
ORDINAL,0.005396791912173693,0.008159269744967952,0.6614299400020008
CARDINAL,0.00861035011802619,0.013126734786393519,0.6559394776190985
Number of named individuals,0.006006757202656408,0.009176149074587466,0.6546047375411759
Automated Readability Index,0.00503020717163933,0.007881547611331823,0.6382250082657617
Number of organizations mentioned,0.004724284543504803,0.007983829976900962,0.5917308659959639
PERCENT,0.009706896575200206,0.017085884249104392,0.5681234141847168
PRODUCT,0.0031781306192321924,0.00560099212151352,0.5674217845811829
WORK_OF_ART,0.00673311802182497,0.011934472594576778,0.5641734334494407
QUANTITY,0.0033921970755959683,0.00608458891542185,0.5575054531529109
PERSON,0.005668683616447513,0.010368106783133036,0.5467418755997606
Word count,0.006510940085608259,0.011998123739594939,0.5426627362988596
LOC,0.005330019537650886,0.01026416503267238,0.5192837729953599
FAC,0.0038267658043451423,0.00738321304715064,0.5183055936285146
LAW,0.005846842186224073,0.01185443112660987,0.49321955575784715
MONEY,0.004053091404907904,0.008316311997479533,0.48736585790404624
LANGUAGE,0.00513243148729163,0.014677484790294739,0.34968034808538095
TIME,0.005020319894601833,0.014445108247168844,0.3475443958782259
