institution,ukprn,region,uoa_id,uoa_name,case_id,case_title,panel,gpa_score,binary_impact_label,region_code,Flesch Reading Ease,Dale-Chall Readability Score,SMOG Index,Automated Readability Index,Sentiment (mean),Sentiment (10th),Sentiment (50th),Sentiment (75th),Sentiment (90th),Number of organizations mentioned,Number of named individuals,Number of countries or regions mentioned,Any monetary values mentioned (list them with currency),Total monetary value,Word count,Paragraph count
University of East Anglia,10007789,East,1,Clinical Medicine,1855,"
    Influencing guidelines on management of hypertension following acute
        stroke
    ",A,2.6,Low,3.0,26.06134615384616,12.614809851551957,16.941846955676066,19.11485868102288,-0.0497,-0.6705,0.0,0.3489,0.6186,12,2,2,['between £3.7 billion and £8 billion'],£3700.0 million,743,2
University of East Anglia,10007789,East,1,Clinical Medicine,1856,"
    Accurate measurement of Vitamin D to develop guidelines for health
    ",A,2.6,Low,3.0,17.135980265980294,13.558369412269414,18.946978176291534,18.921180822307583,0.1428,-0.489,0.0,0.4906,0.7668,20,2,0,"['12.50', '18.50', '125,000']",£0.13 million,781,6
University of Warwick,10007163,West Midlands,1,Clinical Medicine,2582,"
    Successful Clinical Translation and Optimisation of
        Antibody-Incompatible
        Renal Transplantation
    ",A,3.2,High,4.0,25.673502415458955,12.428333816425122,16.860833078287435,17.565822955883768,0.1471,-0.5225,0.0,0.4565,0.7506,30,8,10,"['over £6 million', '£5 million', 'around £1 million']",£12.0 million,1151,6
University of Warwick,10007163,West Midlands,1,Clinical Medicine,2613,"
Improving the Biocompatibility of Peritoneal Dialysis Fluids
",A,3.2,High,4.0,16.6995731193434,14.903387560001466,17.979576790631704,19.20653035799348,0.0134,-0.3915,0.0,0.1724,0.5432,18,8,11,"['US$2.7 billion', '£1.1 million']",£2701.1 million,827,2
University of Warwick,10007163,West Midlands,1,Clinical Medicine,2703,"
    Prevention of Cardiovascular Disease by Dietary Salt Reduction
    ",A,3.2,High,4.0,29.446253796400498,12.926925241844769,16.280829582073984,16.12608744394619,0.08,-0.4881,0.0,0.3697,0.7081,26,7,17,"['at least £40M', 'between $0.04 and $0.32']",£0.0 million,892,2
Cardiff University,10007814,Wales,1,Clinical Medicine,2728,"
    Cardiff-led research underpins new UK and International clinical
        treatment guidelines for the management of acquired haemophilia A
    ",A,3.8,High,9.0,25.935346601941802,13.362373104638621,15.112257680678326,16.303236245954693,0.1817,-0.187,0.0258,0.4677,0.6164,14,3,8,[],,927,4
University of Warwick,10007163,West Midlands,1,Clinical Medicine,2729,"
    Neurosolutions: a commercial partnership between academia and industry
        to develop novel drugs for neurological disorders
    ",A,3.2,High,4.0,11.685566883144304,13.692280070003795,18.030881415247844,19.324376811594206,0.1532,-0.4845,0.0,0.5227,0.6111,26,19,21,"['1.4', 'around £7.5M', '1.4', 'around £7.5M', '1.5', '10', '£356.8M', 'US$170M']",£0.0 million,1035,4
Cardiff University,10007814,Wales,1,Clinical Medicine,2933,"
    The Dermatology Life Quality Index: the leading patient-orientated
        dermatology outcome measure used worldwide.
    ",A,3.8,High,9.0,38.37029103053439,12.720369847328246,13.982378284981454,13.18458848715509,0.157,-0.0103,0.0,0.4117,0.6053,18,3,7,"['881,236', '881,236', '617,778']",£2.38 million,1051,2
Cardiff University,10007814,Wales,1,Clinical Medicine,2999,"
    A New Standard of Care for Locally Advanced Prostate Cancer
    ",A,3.8,High,9.0,31.892475165562928,12.544763008514664,16.39553989546555,17.391694308330194,-0.1421,-0.7067,-0.0558,0.3369,0.5784,20,4,9,[],,758,2
Cardiff University,10007814,Wales,1,Clinical Medicine,3416,"
    Identification of MUTYH, the first recessive
        colorectal cancer gene, improves management of familial bowel cancer
    ",A,3.8,High,9.0,24.125875706214714,13.336610734463276,16.32212239822248,15.48982485875706,-0.149,-0.8244,0.0,0.0,0.7081,8,0,6,"['approximately $5M', '331,947', '1,381', '3,485', '331,947']",£0.67 million,590,2
