Feature,Importance
DATE,0.0537908396491279
Flesch Reading Ease,0.05270989713436985
CARDINAL,0.0521978916238235
Automated Readability Index,0.05181855470916693
Dale-Chall Readability Score,0.04825908928833121
PERCENT,0.048226321083455835
Word count,0.04625659717784921
Sentiment (mean),0.043580224476774114
SMOG Index,0.04224544472789994
Sentiment (90th),0.041723253938935397
Sentiment (75th),0.04006099307712273
Sentiment (10th),0.03971139969566725
Number of organizations mentioned,0.034113068708465207
ORG,0.033926268222576474
WORK_OF_ART,0.03201230395909461
PERSON,0.031199141144212968
Number of countries or regions mentioned,0.030898855978208573
Number of named individuals,0.029504189338848547
GPE,0.029336130912071396
MONEY,0.028401599672162166
Sentiment (50th),0.025220505017145917
EVENT,0.023644208776164015
PRODUCT,0.022076458549672464
NORP,0.016578074870720265
FAC,0.01620409027798122
LOC,0.01589591386946044
Paragraph count,0.015810270950501654
ORDINAL,0.015014320519948682
LAW,0.013453846171246876
QUANTITY,0.011451179699624075
TIME,0.008193333193087455
LANGUAGE,0.006485733586283258
